blk_no,street,max_floor_lvl,year_completed,towns,address,postalcode,latitude,longitude,distance_km,nearest_mrt
1,BEACH RD,16,1970,KALLANG/WHAMPOA,1 BEACH RD,190001,1.3036713506088,103.864478660925,0.4,LAVENDER MRT STATION
1,BEDOK STH AVE 1,14,1975,BEDOK,1 BEDOK STH AVE 1,460001,1.32085208689731,103.933721091441,0.6,BEDOK MRT STATION
1,CHAI CHEE RD,15,1982,BEDOK,1 CHAI CHEE RD,461001,1.32796879176302,103.922716018139,0.9,BEDOK MRT STATION
1,CHANGI VILLAGE RD,4,1975,PASIR RIS,1 CHANGI VILLAGE RD,500001,1.38854656229022,103.987804503483,3.6,CHANGI AIRPORT MRT STATION
1,DELTA AVE,25,1982,BUKIT MERAH,1 DELTA AVE,160001,1.2920752508431,103.828584077626,0.7,TIONG BAHRU MRT STATION
1,DOVER RD,12,1975,QUEENSTOWN,1 DOVER RD,130001,1.3025299473495,103.783271662459,0.6,ONE-NORTH MRT STATION
1,EUNOS CRES,14,1977,GEYLANG,1 EUNOS CRES,400001,1.3206576452482,103.90246344511,0.2,EUNOS MRT STATION
1,EVERTON PK,12,1965,BUKIT MERAH,1 EVERTON PK,080001,1.27549895431693,103.841398475091,0.5,TANJONG PAGAR MRT STATION
1,GHIM MOH RD,15,1975,QUEENSTOWN,1 GHIM MOH RD,270001,1.31287975684307,103.786855017635,0.9,BUONA VISTA MRT STATION
1,HAIG RD,15,1976,GEYLANG,1 HAIG RD,430001,1.31129091152627,103.897703432652,0.9,PAYA LEBAR MRT STATION
1,HOLLAND CL,13,1973,QUEENSTOWN,1 HOLLAND CL,271001,1.30921937771543,103.796732386696,0.2,HOLLAND VILLAGE MRT STATION
1,HOUGANG AVE 3,14,1974,HOUGANG,1 HOUGANG AVE 3,530001,1.36413097349222,103.89300132385,0.9,HOUGANG MRT STATION
1,JLN BT MERAH,14,1974,BUKIT MERAH,1 JLN BT MERAH,150001,1.28647148628638,103.808275089948,0.9,QUEENSTOWN MRT STATION
1,JLN KUKOH,17,1969,CENTRAL AREA,1 JLN KUKOH,161001,1.2882310152805,103.839934168065,0.7,CHINATOWN MRT STATION
